Hotel,Room Type,Item Code,Check In Date,Check Out Date,Stock,Pax,Nights,Daily Rate,Total Price,,
Synergy Broadbeach,2 Bedroom,4SIL_SYN_2BS_4N4P,04/04/2018,08/04/2018,5,4,4," $1,218.00 "," $4,872.00 ",,
Synergy Broadbeach,2 Bedroom,4SIL_SYN_2BS_8N4P,04/04/2018,12/04/2018,5,4,8, $868.35 ," $6,946.80 ",,
Synergy Broadbeach,2 Bedroom,4SIL_SYN_2BS_9N4P,04/04/2018,13/04/2018,5,4,9, $785.17 ," $7,066.50 ",,
Synergy Broadbeach,2 Bedroom,4SIL_SYN_2BS_12N4P,04/04/2018,16/04/2018,5,4,12, $670.67 ," $8,048.04 ",,
Synergy Broadbeach,2 Bedroom,13SIL_SYN_2BS_3N3P,13/04/2018,16/04/2018,5,3,3," $1,737.20 "," $5,211.60 ",,
Synergy Broadbeach,2 Bedroom,13SIL_SYN_2BS_3N4P,13/04/2018,16/04/2018,5,4,3," $1,836.80 "," $5,510.40 ",,
Synergy Broadbeach,2 Bedroom,8SIL_SYN_2BS_4N3P,08/04/2018,12/04/2018,5,3,4," $1,139.50 "," $4,558.00 ",,
Synergy Broadbeach,2 Bedroom,8SIL_SYN_2BS_4N4P,08/04/2018,12/04/2018,5,4,4," $1,218.00 "," $4,872.00 ",,
Synergy Broadbeach,2 Bedroom,12SIL_SYN_2BS_4N3P,12/04/2018,16/04/2018,5,3,4," $1,139.50 "," $4,558.00 ",,
Synergy Broadbeach,2 Bedroom,12SIL_SYN_2BS_4N4P,12/04/2018,16/04/2018,5,4,4," $1,218.00 "," $4,872.00 ",,
Synergy Broadbeach,2 Bedroom,8SIL_SYN_2BS_8N3P,08/04/2018,16/04/2018,5,3,8, $727.78 ," $5,822.20 ",,
Synergy Broadbeach,2 Bedroom,8SIL_SYN_2BS_8N4P,08/04/2018,16/04/2018,5,4,8, $868.35 ," $6,946.80 ",,
Synergy Broadbeach,2 Bedroom,7SIL_SYN_2BS_9N3P,07/04/2018,16/04/2018,5,3,9, $660.53 ," $5,944.75 ",,
Synergy Broadbeach,2 Bedroom,7SIL_SYN_2BS_9N4P,07/04/2018,16/04/2018,5,4,9, $785.17 ," $7,066.50 ",,
Synergy Broadbeach,2 Bedroom Superior,4SIL_SYN_2BX_3N3P,04/04/2018,07/04/2018,2,3,3," $1,748.67 "," $5,246.00 ",,
Synergy Broadbeach,2 Bedroom Superior,4SIL_SYN_2BX_4N3P,04/04/2018,08/04/2018,2,3,4," $1,311.50 "," $5,246.00 ",,
Synergy Broadbeach,2 Bedroom Superior,4SIL_SYN_2BX_8N3P,04/04/2018,12/04/2018,2,3,8, $869.68 ," $6,957.40 ",,
Synergy Broadbeach,2 Bedroom Superior,4SIL_SYN_2BX_9N3P,04/04/2018,13/04/2018,2,3,9, $789.53 ," $7,105.75 ",,
Synergy Broadbeach,2 Bedroom Superior,4SIL_SYN_2BX_12N3P,04/04/2018,16/04/2018,2,3,12, $693.52 ," $8,322.22 ",,
Synergy Broadbeach,2 Bedroom Superior,4SIL_SYN_2BX_3N4P,04/04/2018,07/04/2018,2,4,3," $1,848.00 "," $5,544.00 ",,
Synergy Broadbeach,2 Bedroom Superior,4SIL_SYN_2BX_4N4P,04/04/2018,08/04/2018,2,4,4," $1,386.00 "," $5,544.00 ",,
Synergy Broadbeach,2 Bedroom Superior,4SIL_SYN_2BX_8N4P,04/04/2018,12/04/2018,2,4,8," $1,006.95 "," $8,055.60 ",,
Synergy Broadbeach,2 Bedroom Superior,4SIL_SYN_2BX_9N4P,04/04/2018,13/04/2018,2,4,9, $911.17 ," $8,200.50 ",,
Synergy Broadbeach,2 Bedroom Superior,4SIL_SYN_2BX_12N4P,04/04/2018,16/04/2018,2,4,12, $782.39 ," $9,388.68 ",,
Synergy Broadbeach,2 Bedroom Superior,13SIL_SYN_2BX_3N3P,13/04/2018,16/04/2018,2,3,3," $1,748.67 "," $5,246.00 ",,
Synergy Broadbeach,2 Bedroom Superior,13SIL_SYN_2BX_3N4P,13/04/2018,16/04/2018,2,4,3," $1,848.00 "," $5,544.00 ",,
Synergy Broadbeach,2 Bedroom Superior,8SIL_SYN_2BX_4N3P,08/04/2018,12/04/2018,2,3,4," $1,311.50 "," $5,246.00 ",,
Synergy Broadbeach,2 Bedroom Superior,8SIL_SYN_2BX_4N4P,08/04/2018,12/04/2018,2,4,4," $1,386.00 "," $5,544.00 ",,
Synergy Broadbeach,2 Bedroom Superior,12SIL_SYN_2BX_4N3P,12/04/2018,16/04/2018,2,3,4," $1,311.50 "," $5,246.00 ",,
Synergy Broadbeach,2 Bedroom Superior,12SIL_SYN_2BX_4N4P,12/04/2018,16/04/2018,2,4,4," $1,386.00 "," $5,544.00 ",,
Synergy Broadbeach,2 Bedroom Superior,8SIL_SYN_2BX_8N3P,08/04/2018,16/04/2018,2,3,8, $869.68 ," $6,957.40 ",,
Synergy Broadbeach,2 Bedroom Superior,8SIL_SYN_2BX_8N4P,08/04/2018,16/04/2018,2,4,8," $1,006.95 "," $8,055.60 ",,
Synergy Broadbeach,2 Bedroom Superior,7SIL_SYN_2BX_9N3P,07/04/2018,16/04/2018,2,3,9, $789.53 ," $7,105.75 ",,
Synergy Broadbeach,2 Bedroom Superior,7SIL_SYN_2BX_9N4P,07/04/2018,16/04/2018,2,4,9, $911.17 ," $8,200.50 ",,
Synergy Broadbeach,3 Bedroom,4SIL_SYN_3BS_3N6P,04/04/2018,07/04/2018,1,6,3," $2,478.00 "," $7,434.00 ",,
Synergy Broadbeach,3 Bedroom,4SIL_SYN_3BS_4N6P,04/04/2018,08/04/2018,1,6,4," $1,995.00 "," $7,980.00 ",,
Synergy Broadbeach,3 Bedroom,4SIL_SYN_3BS_8N6P,04/04/2018,12/04/2018,1,6,8," $1,441.13 "," $11,529.00 ",,
Synergy Broadbeach,3 Bedroom,4SIL_SYN_3BS_9N6P,04/04/2018,13/04/2018,1,6,9," $1,303.75 "," $11,733.75 ",,
Synergy Broadbeach,3 Bedroom,4SIL_SYN_3BS_12N6P,04/04/2018,16/04/2018,1,6,12," $1,117.73 "," $13,412.70 ",,
Synergy Broadbeach,3 Bedroom,13SIL_SYN_3BS_3N6P,13/04/2018,16/04/2018,1,6,3," $2,478.00 "," $7,434.00 ",,
Synergy Broadbeach,3 Bedroom,8SIL_SYN_3BS_4N6P,08/04/2018,12/04/2018,1,6,4," $1,995.00 "," $7,980.00 ",,
Synergy Broadbeach,3 Bedroom,12SIL_SYN_3BS_4N6P,12/04/2018,16/04/2018,1,6,4," $1,995.00 "," $7,980.00 ",,
Synergy Broadbeach,3 Bedroom,8SIL_SYN_3BS_8N6P,08/04/2018,16/04/2018,1,6,8," $1,441.13 "," $11,529.00 ",,
Synergy Broadbeach,3 Bedroom,7SIL_SYN_3BS_9N6P,07/04/2018,16/04/2018,1,6,9," $1,303.75 "," $11,733.75 ",,
The Bay Apartments,2 Bedroom Deluxe,4BRZ_BAY_2BD_3N3P,04/04/2018,07/04/2018,5,3,3," $1,279.97 "," $3,839.90 ",,
The Bay Apartments,2 Bedroom Deluxe,4BRZ_BAY_2BD_4N3P,04/04/2018,08/04/2018,5,3,4, $854.09 ," $3,416.35 ",,
The Bay Apartments,2 Bedroom Deluxe,4BRZ_BAY_2BD_8N3P,04/04/2018,12/04/2018,5,3,8, $504.44 ," $4,035.55 ",,
The Bay Apartments,2 Bedroom Deluxe,4BRZ_BAY_2BD_9N3P,04/04/2018,13/04/2018,5,3,9, $452.25 ," $4,070.22 ",,
The Bay Apartments,2 Bedroom Deluxe,4BRZ_BAY_2BD_12N3P,04/04/2018,16/04/2018,5,3,12, $382.52 ," $4,590.25 ",,
